country,code,year,region,incgroup,kyoto,co2_pc,co2_gdp,ghse,gdp_pc,gdp_g,gdp_g5,unem,gobexp,hmcd,lendborr,fiscrev,expfuel,tourism,daysbus,imp,exp,tradebal,urbanpop,denspop,minexp,lifexp,school,elec_pc,pop,pop_g,inf,rir,capform,ind_work,savings,cer_yield,agr_prod,fert_cons,forest,energy_gdp,surface,elect_rnw,natrent,minrent,gasrent,forrent,coalrent,energy_pc,fossil_use,agr_va,agr_emp,pol_syst,pol_or,pol_dem,cci,ind_va,serv_emp,oilrent,gasrent,impfuel
Bosnia and Herzegovina,BIH,2003,Europe & Central Asia,Upper middle income,0,3.851050178,0.473320999,18645.7857,8136.233527,3.999999711,8.079999387,28.63999939,,,,,4.481097975,18.37624642,68,83.16989659,30.28986625,-52.88003033,43.33,73.47994141,14.14580876,74.941,,2233.5496,3762173,0.07408038,,9.867468898,18.8448011,29.93000031,,2521.6,73.32,17.65683382,41.19048828,6.831553989,51210,39.95206817,0.879184682,0.038286497,0,0.685340952,0.155557233,2233.5496,,7.341323681,22.70000076,,NA,,-0.2999177,19.16008962,47.36999893,0,0,5.295933128
Belarus,BLR,2003,Europe & Central Asia,Upper middle income,1,5.464145912,0.565635233,82041.116,9660.193688,7.043192559,5.4741135,9.880000114,28.212817,9.081296198,-1.056054484,17.68812191,22.06119549,3.115379314,80,68.98547237,65.15637991,-3.829092461,71.415,48.30029581,0.981971062,68.55365854,102.379303,3063.056939,9796749,-0.699809191,28.39783991,-5.134717064,24.95432766,31.72999954,22.79764856,2433,87.29,135.6257856,41.31588029,12.60871198,207600,0.10515642,1.739717146,0,0.058806462,0.58491496,0,3063.056939,88.87669927,8.635627708,13.97000027,,NA,-7,-0.5923605,32.7410515,54.29999924,1.095995724,0.058806462,26.28776796
Belize,BLZ,2003,Latin America & Caribbean,Upper middle income,1,1.606035075,0.223811793,3604.31407,7175.828645,9.334064127,6.989151527,10.38000011,21.55734621,24.86749707,-5.311794611,19.30833757,0,,,66.39730554,53.55702593,-12.84027961,45.347,11.81170539,0.000966604,69.511,111.1511612,,269425,2.650384639,,17.58813814,20.63640569,17.60000038,2.36910958,2851.8,91.32,382.3714286,63.08316528,5.33489759,22970,40.96385542,0.276540835,0.00028688,0,0.276253955,0,0,92.19085063,14.5960244,22,,NA,,-0.085157,15.16029995,60.40999985,0,0,12.03914379
Bermuda,BMU,2003,North America,High income,0,8.859865772,0.099855001,543.012595,88727.31139,3.410706204,4.468890009,,,3.083089255,,,,,,,,,100,1172.685185,,78.33414634,97.40467072,,63325,0.656472533,,,,,,,86.35,,18.51851852,2.238876727,54,0,0,0,0,0,0,0,,0.821851058,,,NA,,1.37669,9.568245741,,0,0,0
Bolivia,BOL,2003,Latin America & Caribbean,Lower middle income,1,1.24555305,0.227321189,124597.495,5479.265061,2.711340707,2.426683051,2.900000095,28.2076377,,-7.565430646,12.97300023,30.13894193,12.39034143,59,26.36710166,25.60073348,-0.766368181,63.248,8.221012647,17.69327917,64.21,116.0453796,437.2420157,8905823,1.847322665,3.337274997,10.65860891,13.23207319,20.51000023,15.04771998,1963.3,63.53,3.675583381,50.30626419,5.056614415,1098580,47.11449677,5.380466163,0.028456275,1.542541644,0.481903748,0,437.2420157,,13.42723687,35.09000015,Presidential,Right,8,-0.8151417,25.59648984,44.40000153,3.327564496,1.542541644,7.302374001
Brazil,BRA,2003,Latin America & Caribbean,Upper middle income,1,1.769005571,0.1501388,1624554.7,11782.46777,1.140828998,1.927468635,9.989999771,,25.75645397,,,5.185816414,3.237252326,,12.95960101,15.18078371,2.221182694,82.203,21.7523571,8.53329655,71.17,140.5444946,1882.264008,181809246,1.257382738,14.71491972,46.44739884,16.8566884,21.48999977,16.9559494,3385.4,66.75,188.7633426,64.51629549,3.955210904,8515770,87.16360313,3.663816595,1.088222459,0.034465896,0.724421757,0.001184824,1882.264008,81.99133613,6.167184386,16.68000031,Assembly-Elected President,Right,8,0.0914829,23.08381782,61.83000183,1.815521661,0.034465896,15.47542049
Barbados,BRB,2003,Latin America & Caribbean,High income,1,4.571569174,0.303748392,,15050.51319,2.175480769,1.386449461,11,26.98426546,12.02926392,-2.401168406,25.24341798,7.465995536,57.64563872,,47.13350989,42.95840474,-4.175105157,33.234,637.9744186,0.248965014,77.682,96.64907074,,274329,0.330075479,1.619433198,7.302639709,18.26452718,17.61000061,12.36276487,2630,196.46,79.71428571,14.65116279,4.269242415,430,0,0.230453229,0,0.012550319,0.005747924,0,0,54.64132844,1.978501324,4.559999943,Parliamentary,Left,,1.544669,15.70493846,77.83000183,0.212154986,0.012550319,15.357517
Brunei Darussalam,BRN,2003,East Asia & Pacific,High income,0,12.99511737,0.181791628,10762.0383,71483.58556,2.903955477,2.391841527,5.820000172,,0.849148728,,,94.3811601,2.5512787,,35.96921573,69.28925184,33.32003611,72.421,67.03851992,0.000749943,73.575,110.6532669,8550.976102,353293,1.860140053,0.3,-0.569825438,15.0554608,21.56999969,47.13399119,792.8,91.21,102,74.36432638,3.86458634,5770,0,23.44287886,0,6.624637016,0.089331874,0,8550.976102,,1.222196519,1.019999981,Presidential,NA,,0.3189477,64.1475462,77.41999817,16.72890997,6.624637016,0.852735537
Bhutan,BTN,2003,South Asia,Lower middle income,1,0.601588942,0.121348351,1467.57296,4957.537025,7.823302361,8.034452628,1.799999952,19.09721566,0.796381244,-10.12973132,9.644347227,,,62,52.34165189,26.28915184,-26.05250004,28.688,15.77484925,,63.624,84.15406036,,627839,1.900758029,1.566152408,11.76074972,60.69000628,7.380000114,,1791.3,64.16,9.891891892,66.22580402,17.79110221,40077,99.91696651,3.347624751,0,0,3.230045726,0.117579025,0,100,22.13682064,64.68000031,Presidential,NA,-10,1.090904,39.24947114,27.94000053,0,0,0
Botswana,BWA,2003,Sub-Saharan Africa,Upper middle income,1,2.207306512,0.183040243,17482.9867,12059.13231,4.625894792,3.683740962,23.79999924,,17.98906472,,,0.03870455,12.51572662,125,37.00718468,48.82685783,11.81967315,55.029,3.060360313,10.72450022,50.518,111.3464279,1362.432383,1734398,1.730526111,9.189902656,12.7261594,30.14300769,22.63999939,39.43583844,1214.5,73.83,,30.46565384,3.846477064,581730,0,1.624342349,1.089032469,0,0.396498448,0.138811431,1362.432383,,2.722386955,21.21999931,Parliamentary,Right,8,1.216737,39.61641319,56.13999939,0,0,4.454489795
